model,entity_type,family,layer,balanced_acc
phenixace-Chem-R-Faithful,functional_group,declarative,22,0.9605059523809525
phenixace-Chem-R-Faithful,functional_group,declarative,23,0.9568749999999999
phenixace-Chem-R-Faithful,functional_group,declarative,24,0.9497916666666666
phenixace-Chem-R-Faithful,functional_group,declarative,25,0.9380357142857143
phenixace-Chem-R-Faithful,functional_group,declarative,26,0.923095238095238
phenixace-Chem-R-Faithful,functional_group,declarative,27,0.9169940476190477
phenixace-Chem-R-Faithful,functional_group,declarative,28,0.9278571428571428
phenixace-Chem-R-Faithful,functional_group,declarative,29,0.910327380952381
phenixace-Chem-R-Faithful,functional_group,declarative,30,0.9339880952380952
phenixace-Chem-R-Faithful,functional_group,declarative,31,0.9636309523809523
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,0,0.5305059523809523
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,1,0.5265178571428571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,2,0.5389136904761904
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,3,0.5862202380952382
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,4,0.6123511904761905
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,5,0.6227380952380952
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,6,0.651517857142857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,7,0.6481547619047618
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,8,0.6307738095238095
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,9,0.6352827380952382
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,10,0.6419940476190477
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,11,0.6350595238095239
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,12,0.6645833333333333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,13,0.6547916666666668
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,14,0.6750595238095238
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,15,0.6991964285714286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,16,0.8684672619047618
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,17,0.8509970238095238
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,18,0.9008779761904762
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,19,0.9497767857142857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,20,0.9540922619047619
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,21,0.9602678571428571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,22,0.9488095238095239
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,23,0.9342261904761905
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,24,0.9491071428571429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,25,0.9538690476190477
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,26,0.9537202380952381
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,27,0.9485119047619048
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,28,0.9568452380952381
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,29,0.9627976190476191
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,30,0.9611607142857143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,declarative,31,0.9578869047619047
