model,entity_type,tag,layer,true_class,pred_class,n,n_true_total,rate
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,sulfur,nitrogen,51,200,0.255
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,sulfur,oxygen,31,200,0.155
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,nitrogen,halide,22,240,0.091667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,sulfur,halide,17,200,0.085
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,nitrogen,sulfur,15,240,0.0625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,oxygen,sulfur,14,280,0.05
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,nitrogen,hydrocarbon,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,3,oxygen,hydrocarbon,1,280,0.003571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,nitrogen,oxygen,126,240,0.525
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,oxygen,nitrogen,68,280,0.242857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,sulfur,nitrogen,58,200,0.29
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,nitrogen,halide,26,240,0.108333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,sulfur,oxygen,23,200,0.115
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,nitrogen,sulfur,17,240,0.070833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,oxygen,sulfur,10,280,0.035714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,sulfur,halide,9,200,0.045
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,4,oxygen,hydrocarbon,3,280,0.010714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,nitrogen,oxygen,125,240,0.520833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,sulfur,nitrogen,71,200,0.355
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,oxygen,nitrogen,46,280,0.164286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,nitrogen,halide,28,240,0.116667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,sulfur,halide,18,200,0.09
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,nitrogen,sulfur,16,240,0.066667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,oxygen,sulfur,9,280,0.032143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,sulfur,oxygen,9,200,0.045
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,oxygen,hydrocarbon,2,280,0.007143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,5,nitrogen,hydrocarbon,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,nitrogen,oxygen,104,240,0.433333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,sulfur,nitrogen,61,200,0.305
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,nitrogen,halide,39,240,0.1625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,oxygen,nitrogen,23,280,0.082143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,sulfur,halide,22,200,0.11
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,sulfur,oxygen,19,200,0.095
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,nitrogen,sulfur,15,240,0.0625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,oxygen,sulfur,8,280,0.028571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,nitrogen,hydrocarbon,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,6,oxygen,hydrocarbon,1,280,0.003571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,nitrogen,oxygen,104,240,0.433333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,sulfur,nitrogen,51,200,0.255
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,nitrogen,halide,42,240,0.175
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,sulfur,oxygen,29,200,0.145
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,oxygen,nitrogen,27,280,0.096429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,sulfur,halide,21,200,0.105
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,nitrogen,sulfur,14,240,0.058333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,oxygen,sulfur,8,280,0.028571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,7,oxygen,hydrocarbon,1,280,0.003571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,nitrogen,oxygen,112,240,0.466667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,sulfur,nitrogen,52,200,0.26
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,nitrogen,halide,41,240,0.170833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,oxygen,halide,29,280,0.103571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,oxygen,nitrogen,29,280,0.103571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,sulfur,oxygen,28,200,0.14
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,sulfur,halide,23,200,0.115
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,nitrogen,sulfur,17,240,0.070833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,oxygen,sulfur,12,280,0.042857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,8,oxygen,hydrocarbon,1,280,0.003571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,nitrogen,oxygen,110,240,0.458333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,sulfur,nitrogen,53,200,0.265
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,nitrogen,halide,41,240,0.170833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,oxygen,nitrogen,32,280,0.114286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,oxygen,halide,29,280,0.103571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,sulfur,oxygen,28,200,0.14
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,sulfur,halide,20,200,0.1
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,nitrogen,sulfur,13,240,0.054167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,oxygen,sulfur,11,280,0.039286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,oxygen,hydrocarbon,2,280,0.007143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,9,halide,nitrogen,1,160,0.00625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,nitrogen,oxygen,107,240,0.445833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,sulfur,nitrogen,48,200,0.24
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,nitrogen,halide,40,240,0.166667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,oxygen,nitrogen,34,280,0.121429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,sulfur,oxygen,33,200,0.165
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,oxygen,halide,26,280,0.092857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,nitrogen,sulfur,16,240,0.066667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,sulfur,halide,16,200,0.08
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,oxygen,sulfur,13,280,0.046429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,10,oxygen,hydrocarbon,2,280,0.007143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,nitrogen,oxygen,107,240,0.445833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,oxygen,nitrogen,47,280,0.167857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,sulfur,nitrogen,46,200,0.23
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,sulfur,oxygen,36,200,0.18
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,nitrogen,halide,31,240,0.129167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,oxygen,halide,27,280,0.096429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,nitrogen,sulfur,20,240,0.083333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,oxygen,sulfur,15,280,0.053571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,sulfur,halide,14,200,0.07
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,11,oxygen,hydrocarbon,1,280,0.003571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,nitrogen,oxygen,95,240,0.395833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,sulfur,nitrogen,50,200,0.25
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,nitrogen,halide,37,240,0.154167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,sulfur,oxygen,35,200,0.175
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,oxygen,nitrogen,25,280,0.089286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,oxygen,halide,24,280,0.085714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,nitrogen,sulfur,22,240,0.091667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,oxygen,sulfur,14,280,0.05
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,12,sulfur,halide,10,200,0.05
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,nitrogen,oxygen,96,240,0.4
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,sulfur,nitrogen,66,200,0.33
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,nitrogen,halide,38,240,0.158333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,oxygen,nitrogen,32,280,0.114286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,oxygen,halide,27,280,0.096429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,sulfur,oxygen,24,200,0.12
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,nitrogen,sulfur,21,240,0.0875
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,oxygen,sulfur,10,280,0.035714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,sulfur,halide,7,200,0.035
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,13,oxygen,hydrocarbon,1,280,0.003571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,nitrogen,oxygen,91,240,0.379167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,sulfur,nitrogen,46,200,0.23
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,nitrogen,halide,38,240,0.158333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,oxygen,nitrogen,37,280,0.132143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,sulfur,oxygen,30,200,0.15
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,oxygen,halide,24,280,0.085714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,nitrogen,sulfur,17,240,0.070833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,oxygen,sulfur,14,280,0.05
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,sulfur,halide,8,200,0.04
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,14,oxygen,hydrocarbon,1,280,0.003571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,nitrogen,oxygen,84,240,0.35
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,sulfur,nitrogen,42,200,0.21
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,oxygen,nitrogen,34,280,0.121429
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,nitrogen,halide,30,240,0.125
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,oxygen,halide,28,280,0.1
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,nitrogen,sulfur,26,240,0.108333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,sulfur,oxygen,22,200,0.11
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,oxygen,sulfur,11,280,0.039286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,sulfur,halide,7,200,0.035
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,15,nitrogen,hydrocarbon,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,nitrogen,oxygen,53,240,0.220833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,oxygen,halide,30,280,0.107143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,oxygen,nitrogen,22,280,0.078571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,nitrogen,halide,18,240,0.075
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,sulfur,oxygen,4,200,0.02
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,nitrogen,sulfur,2,240,0.008333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,halide,hydrocarbon,1,160,0.00625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,sulfur,halide,1,200,0.005
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,16,sulfur,nitrogen,1,200,0.005
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,nitrogen,oxygen,44,240,0.183333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,oxygen,halide,32,280,0.114286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,oxygen,nitrogen,28,280,0.1
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,nitrogen,halide,24,240,0.1
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,sulfur,oxygen,15,200,0.075
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,oxygen,sulfur,2,280,0.007143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,halide,hydrocarbon,1,160,0.00625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,sulfur,halide,1,200,0.005
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,17,sulfur,nitrogen,1,200,0.005
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,nitrogen,oxygen,37,240,0.154167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,oxygen,halide,29,280,0.103571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,nitrogen,halide,15,240,0.0625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,oxygen,nitrogen,12,280,0.042857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,oxygen,sulfur,2,280,0.007143
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,sulfur,halide,2,200,0.01
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,sulfur,oxygen,2,200,0.01
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,18,halide,hydrocarbon,1,160,0.00625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,19,nitrogen,oxygen,26,240,0.108333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,19,oxygen,halide,18,280,0.064286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,19,oxygen,nitrogen,5,280,0.017857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,19,halide,hydrocarbon,1,160,0.00625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,19,nitrogen,halide,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,20,nitrogen,oxygen,21,240,0.0875
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,20,oxygen,halide,21,280,0.075
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,20,oxygen,nitrogen,3,280,0.010714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,20,halide,hydrocarbon,1,160,0.00625
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,20,nitrogen,halide,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,21,nitrogen,oxygen,25,240,0.104167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,21,oxygen,halide,10,280,0.035714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,21,oxygen,nitrogen,3,280,0.010714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,21,nitrogen,halide,2,240,0.008333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,22,nitrogen,oxygen,38,240,0.158333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,22,oxygen,halide,10,280,0.035714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,22,oxygen,nitrogen,3,280,0.010714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,23,nitrogen,oxygen,46,240,0.191667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,23,oxygen,halide,10,280,0.035714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,23,oxygen,nitrogen,10,280,0.035714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,24,nitrogen,oxygen,35,240,0.145833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,24,oxygen,halide,10,280,0.035714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,24,oxygen,nitrogen,5,280,0.017857
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,24,nitrogen,halide,1,240,0.004167
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,25,nitrogen,oxygen,34,240,0.141667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,25,oxygen,halide,8,280,0.028571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,25,oxygen,nitrogen,4,280,0.014286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,26,nitrogen,oxygen,35,240,0.145833
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,26,oxygen,halide,7,280,0.025
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,26,oxygen,nitrogen,4,280,0.014286
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,27,nitrogen,oxygen,40,240,0.166667
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,27,oxygen,halide,8,280,0.028571
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,27,oxygen,nitrogen,3,280,0.010714
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,28,nitrogen,oxygen,32,240,0.133333
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,28,oxygen,halide,7,280,0.025
deepseek-ai-DeepSeek-R1-Distill-Llama-8B,functional_group,coarse_group,28,oxygen,nitrogen,4,280,0.014286
