model,entity_type,layer,n_total_errors,n_nitrogen_to_oxygen,share_nitrogen_to_oxygen
meta-llama-Llama-3.1-8B,functional_group,28,2,0,0.0
meta-llama-Llama-3.1-8B,functional_group,29,0,0,
meta-llama-Llama-3.1-8B,functional_group,30,0,0,
meta-llama-Llama-3.1-8B,functional_group,31,2,0,0.0
phenixace-Chem-R-Faithful,functional_group,0,432,74,0.171296
phenixace-Chem-R-Faithful,functional_group,1,339,89,0.262537
phenixace-Chem-R-Faithful,functional_group,2,346,79,0.228324
phenixace-Chem-R-Faithful,functional_group,3,299,66,0.220736
phenixace-Chem-R-Faithful,functional_group,4,282,52,0.184397
phenixace-Chem-R-Faithful,functional_group,5,292,74,0.253425
phenixace-Chem-R-Faithful,functional_group,6,279,78,0.27957
phenixace-Chem-R-Faithful,functional_group,7,306,95,0.310458
phenixace-Chem-R-Faithful,functional_group,8,301,79,0.262458
phenixace-Chem-R-Faithful,functional_group,9,292,73,0.25
phenixace-Chem-R-Faithful,functional_group,10,270,53,0.196296
phenixace-Chem-R-Faithful,functional_group,11,237,58,0.244726
phenixace-Chem-R-Faithful,functional_group,12,245,75,0.306122
phenixace-Chem-R-Faithful,functional_group,13,257,89,0.346304
phenixace-Chem-R-Faithful,functional_group,14,238,79,0.331933
phenixace-Chem-R-Faithful,functional_group,15,230,14,0.06087
phenixace-Chem-R-Faithful,functional_group,16,149,11,0.073826
phenixace-Chem-R-Faithful,functional_group,17,134,9,0.067164
phenixace-Chem-R-Faithful,functional_group,18,31,1,0.032258
phenixace-Chem-R-Faithful,functional_group,19,16,0,0.0
phenixace-Chem-R-Faithful,functional_group,20,24,0,0.0
phenixace-Chem-R-Faithful,functional_group,21,33,0,0.0
phenixace-Chem-R-Faithful,functional_group,22,38,12,0.315789
phenixace-Chem-R-Faithful,functional_group,23,41,11,0.268293
phenixace-Chem-R-Faithful,functional_group,24,48,18,0.375
phenixace-Chem-R-Faithful,functional_group,25,60,30,0.5
phenixace-Chem-R-Faithful,functional_group,26,75,47,0.626667
phenixace-Chem-R-Faithful,functional_group,27,81,48,0.592593
phenixace-Chem-R-Faithful,functional_group,28,69,52,0.753623
phenixace-Chem-R-Faithful,functional_group,29,86,65,0.755814
phenixace-Chem-R-Faithful,functional_group,30,63,44,0.698413
phenixace-Chem-R-Faithful,functional_group,31,35,20,0.571429
