model,entity_type,layer,group_a,group_b,cosine_sim,same_naming,same_reactivity
meta-llama-Llama-3.1-8B,functional_group,0,amide,nitro,0.592383,1,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,sulfone,0.633653,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,sulfoxide,0.527921,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,thioether,0.418384,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amide,thiol,0.440784,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,carboxylic acid,0.516741,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,ester,0.507817,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,ether,0.691085,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,imine,0.618503,1,1
meta-llama-Llama-3.1-8B,functional_group,0,amine,ketone,0.501051,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,nitrile,0.153416,1,1
meta-llama-Llama-3.1-8B,functional_group,0,amine,nitro,0.470351,1,1
meta-llama-Llama-3.1-8B,functional_group,0,amine,sulfone,0.600812,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,sulfoxide,0.524742,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,thioether,0.682844,0,0
meta-llama-Llama-3.1-8B,functional_group,0,amine,thiol,0.905663,0,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,ester,0.560562,1,1
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,ether,0.427158,1,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,imine,0.66636,0,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,ketone,0.479329,1,1
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,nitrile,0.180468,0,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,nitro,0.50435,0,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,sulfone,0.681836,0,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,sulfoxide,0.571337,0,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,thioether,0.554929,0,0
meta-llama-Llama-3.1-8B,functional_group,0,carboxylic acid,thiol,0.487752,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,ether,0.469234,1,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,imine,0.533405,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,ketone,0.948347,1,1
meta-llama-Llama-3.1-8B,functional_group,0,ester,nitrile,0.276648,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,nitro,0.532956,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,sulfone,0.950477,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,sulfoxide,0.990384,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,thioether,0.558745,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ester,thiol,0.487891,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ether,imine,0.340314,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ether,ketone,0.323372,1,0
meta-llama-Llama-3.1-8B,functional_group,0,ether,nitrile,0.144723,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ether,nitro,0.278216,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ether,sulfone,0.540526,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ether,sulfoxide,0.489239,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ether,thioether,0.850946,0,1
meta-llama-Llama-3.1-8B,functional_group,0,ether,thiol,0.699981,0,1
meta-llama-Llama-3.1-8B,functional_group,0,imine,ketone,0.545935,0,0
meta-llama-Llama-3.1-8B,functional_group,0,imine,nitrile,0.271288,1,1
meta-llama-Llama-3.1-8B,functional_group,0,imine,nitro,0.639296,1,1
meta-llama-Llama-3.1-8B,functional_group,0,imine,sulfone,0.622992,0,0
meta-llama-Llama-3.1-8B,functional_group,0,imine,sulfoxide,0.552677,0,0
meta-llama-Llama-3.1-8B,functional_group,0,imine,thioether,0.399761,0,0
meta-llama-Llama-3.1-8B,functional_group,0,imine,thiol,0.530838,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ketone,nitrile,0.25757,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ketone,nitro,0.556,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ketone,sulfone,0.886499,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ketone,sulfoxide,0.935588,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ketone,thioether,0.370049,0,0
meta-llama-Llama-3.1-8B,functional_group,0,ketone,thiol,0.463854,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitrile,nitro,0.352012,1,1
meta-llama-Llama-3.1-8B,functional_group,0,nitrile,sulfone,0.257553,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitrile,sulfoxide,0.269627,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitrile,thioether,0.125339,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitrile,thiol,0.164693,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitro,sulfone,0.600985,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitro,sulfoxide,0.532401,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitro,thioether,0.276877,0,0
meta-llama-Llama-3.1-8B,functional_group,0,nitro,thiol,0.394756,0,0
meta-llama-Llama-3.1-8B,functional_group,0,sulfone,sulfoxide,0.956158,1,1
meta-llama-Llama-3.1-8B,functional_group,0,sulfone,thioether,0.657671,1,0
meta-llama-Llama-3.1-8B,functional_group,0,sulfone,thiol,0.570659,1,0
meta-llama-Llama-3.1-8B,functional_group,0,sulfoxide,thioether,0.587162,1,0
meta-llama-Llama-3.1-8B,functional_group,0,sulfoxide,thiol,0.510125,1,0
meta-llama-Llama-3.1-8B,functional_group,0,thioether,thiol,0.687448,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,aldehyde,0.604689,1,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,alkyl bromide,0.628123,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,alkyl chloride,0.589327,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,alkyl fluoride,0.727339,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,alkyl iodide,0.649178,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,amide,0.600301,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,amine,0.906235,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,carboxylic acid,0.575489,1,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,ester,0.672877,1,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,ether,0.753472,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,imine,0.78763,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,ketone,0.788107,1,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,nitrile,0.660082,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,nitro,0.645538,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,sulfone,0.623834,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,sulfoxide,0.668639,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,thioether,0.686145,0,1
meta-llama-Llama-3.1-8B,functional_group,8,alcohol,thiol,0.834619,0,1
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,alkyl bromide,0.414722,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,alkyl chloride,0.394352,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,alkyl fluoride,0.396594,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,alkyl iodide,0.394164,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,amide,0.81168,0,1
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,amine,0.604435,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,carboxylic acid,0.637071,1,1
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,ester,0.566751,1,1
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,ether,0.39738,1,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,imine,0.712484,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,ketone,0.559655,1,1
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,nitrile,0.561065,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,nitro,0.505146,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,sulfone,0.559007,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,sulfoxide,0.573742,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,thioether,0.446419,0,0
meta-llama-Llama-3.1-8B,functional_group,8,aldehyde,thiol,0.533102,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,alkyl chloride,0.941327,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,alkyl fluoride,0.842954,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,alkyl iodide,0.899548,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,amide,0.454964,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,amine,0.650927,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,carboxylic acid,0.440183,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,ester,0.433322,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,ether,0.837954,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,imine,0.585056,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,ketone,0.487599,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,nitrile,0.503723,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,nitro,0.776971,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,sulfone,0.391061,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,sulfoxide,0.438114,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,thioether,0.741075,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl bromide,thiol,0.594398,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,alkyl fluoride,0.821256,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,alkyl iodide,0.859368,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,amide,0.461089,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,amine,0.633608,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,carboxylic acid,0.496984,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,ester,0.460958,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,ether,0.827506,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,imine,0.525045,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,ketone,0.486857,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,nitrile,0.523776,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,nitro,0.787965,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,sulfone,0.407881,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,sulfoxide,0.443828,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,thioether,0.743953,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl chloride,thiol,0.564376,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,alkyl iodide,0.904692,1,1
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,amide,0.424975,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,amine,0.739475,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,carboxylic acid,0.370503,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,ester,0.49974,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,ether,0.905995,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,imine,0.632276,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,ketone,0.561766,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,nitrile,0.586735,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,nitro,0.759027,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,sulfone,0.491663,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,sulfoxide,0.526278,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,thioether,0.847177,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl fluoride,thiol,0.763059,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,amide,0.411251,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,amine,0.683133,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,carboxylic acid,0.327085,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,ester,0.401544,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,ether,0.869503,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,imine,0.612197,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,ketone,0.471729,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,nitrile,0.492194,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,nitro,0.749345,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,sulfone,0.38135,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,sulfoxide,0.433131,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,thioether,0.770107,0,0
meta-llama-Llama-3.1-8B,functional_group,8,alkyl iodide,thiol,0.683229,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,amine,0.686069,1,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,carboxylic acid,0.808669,0,1
meta-llama-Llama-3.1-8B,functional_group,8,amide,ester,0.68611,0,1
meta-llama-Llama-3.1-8B,functional_group,8,amide,ether,0.444483,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,imine,0.730575,1,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,ketone,0.61796,0,1
meta-llama-Llama-3.1-8B,functional_group,8,amide,nitrile,0.625459,1,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,nitro,0.594265,1,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,sulfone,0.729903,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,sulfoxide,0.738467,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,thioether,0.528143,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amide,thiol,0.556433,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,carboxylic acid,0.611689,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,ester,0.691607,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,ether,0.753246,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,imine,0.813573,1,1
meta-llama-Llama-3.1-8B,functional_group,8,amine,ketone,0.77386,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,nitrile,0.71432,1,1
meta-llama-Llama-3.1-8B,functional_group,8,amine,nitro,0.686074,1,1
meta-llama-Llama-3.1-8B,functional_group,8,amine,sulfone,0.670729,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,sulfoxide,0.716232,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,thioether,0.73908,0,0
meta-llama-Llama-3.1-8B,functional_group,8,amine,thiol,0.85415,0,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,ester,0.760019,1,1
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,ether,0.440889,1,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,imine,0.513652,0,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,ketone,0.656471,1,1
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,nitrile,0.607503,0,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,nitro,0.576587,0,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,sulfone,0.706519,0,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,sulfoxide,0.70264,0,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,thioether,0.482943,0,0
meta-llama-Llama-3.1-8B,functional_group,8,carboxylic acid,thiol,0.473877,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,ether,0.543809,1,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,imine,0.571903,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,ketone,0.881146,1,1
meta-llama-Llama-3.1-8B,functional_group,8,ester,nitrile,0.716175,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,nitro,0.640109,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,sulfone,0.881368,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,sulfoxide,0.896739,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,thioether,0.600934,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ester,thiol,0.590094,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ether,imine,0.619147,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ether,ketone,0.58659,1,0
meta-llama-Llama-3.1-8B,functional_group,8,ether,nitrile,0.595077,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ether,nitro,0.755947,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ether,sulfone,0.503418,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ether,sulfoxide,0.541423,0,0
meta-llama-Llama-3.1-8B,functional_group,8,ether,thioether,0.861904,0,1
meta-llama-Llama-3.1-8B,functional_group,8,ether,thiol,0.749202,0,1
meta-llama-Llama-3.1-8B,functional_group,8,imine,ketone,0.653168,0,0
meta-llama-Llama-3.1-8B,functional_group,8,imine,nitrile,0.609002,1,1
meta-llama-Llama-3.1-8B,functional_group,8,imine,nitro,0.596128,1,1
meta-llama-Llama-3.1-8B,functional_group,8,imine,sulfone,0.614154,0,0
meta-llama-Llama-3.1-8B,functional_group,8,imine,sulfoxide,0.663377,0,0
