model,entity_type,layer,block,n_members,n_within_pairs,mean_within_z,mean_other_z,cohesion
meta-llama-Llama-3.1-8B,functional_group,16,nitrogen,5,10,0.83364,-0.051779,0.885419
meta-llama-Llama-3.1-8B,functional_group,16,sulfur,4,6,1.24159,-0.045149,1.286739
meta-llama-Llama-3.1-8B,functional_group,16,carbonyl,5,10,0.838234,-0.052064,0.890299
meta-llama-Llama-3.1-8B,functional_group,24,halide,4,6,1.54859,-0.056312,1.604902
meta-llama-Llama-3.1-8B,functional_group,24,nitrogen,5,10,1.282052,-0.079631,1.361683
meta-llama-Llama-3.1-8B,functional_group,24,sulfur,4,6,1.688736,-0.061409,1.750144
meta-llama-Llama-3.1-8B,functional_group,24,carbonyl,5,10,1.633468,-0.101458,1.734926
meta-llama-Llama-3.1-8B,functional_group,31,halide,4,6,0.818298,-0.029756,0.848055
meta-llama-Llama-3.1-8B,functional_group,31,nitrogen,5,10,1.47497,-0.091613,1.566583
meta-llama-Llama-3.1-8B,functional_group,31,sulfur,4,6,2.151151,-0.078224,2.229374
meta-llama-Llama-3.1-8B,functional_group,31,carbonyl,5,10,1.613646,-0.100226,1.713872
phenixace-Chem-R-Faithful,functional_group,0,halide,4,6,1.154352,-0.041976,1.196328
phenixace-Chem-R-Faithful,functional_group,0,nitrogen,5,10,-0.683873,0.042477,-0.726349
phenixace-Chem-R-Faithful,functional_group,0,sulfur,4,6,0.865747,-0.031482,0.897228
phenixace-Chem-R-Faithful,functional_group,0,carbonyl,5,10,0.598634,-0.037182,0.635816
phenixace-Chem-R-Faithful,functional_group,8,halide,4,6,2.254033,-0.081965,2.335998
phenixace-Chem-R-Faithful,functional_group,8,nitrogen,5,10,-0.046645,0.002897,-0.049542
phenixace-Chem-R-Faithful,functional_group,8,sulfur,4,6,1.061449,-0.038598,1.100047
phenixace-Chem-R-Faithful,functional_group,8,carbonyl,5,10,0.821788,-0.051043,0.872831
phenixace-Chem-R-Faithful,functional_group,16,halide,4,6,2.778793,-0.101047,2.87984
phenixace-Chem-R-Faithful,functional_group,16,nitrogen,5,10,0.333248,-0.020699,0.353947
phenixace-Chem-R-Faithful,functional_group,16,sulfur,4,6,0.835286,-0.030374,0.86566
phenixace-Chem-R-Faithful,functional_group,16,carbonyl,5,10,0.993524,-0.06171,1.055233
phenixace-Chem-R-Faithful,functional_group,24,halide,4,6,2.428916,-0.088324,2.51724
phenixace-Chem-R-Faithful,functional_group,24,nitrogen,5,10,0.399756,-0.02483,0.424585
phenixace-Chem-R-Faithful,functional_group,24,sulfur,4,6,1.573306,-0.057211,1.630517
phenixace-Chem-R-Faithful,functional_group,24,carbonyl,5,10,1.679665,-0.104327,1.783992
phenixace-Chem-R-Faithful,functional_group,31,halide,4,6,2.40086,-0.087304,2.488164
phenixace-Chem-R-Faithful,functional_group,31,nitrogen,5,10,0.82504,-0.051245,0.876285
phenixace-Chem-R-Faithful,functional_group,31,sulfur,4,6,1.728426,-0.062852,1.791278
phenixace-Chem-R-Faithful,functional_group,31,carbonyl,5,10,1.68215,-0.104481,1.786631
